No.,Name_en,Name_zh,Style_zh,Style_en,Floors,Height_ft,Height_m,Year,Architect,Description_zh,Description_en,Location,Link,Picture (CC),Attribution,Side Note Title_zh,Side Note Title_en,Side Note Picture (CC),Side Note_zh,Side Note_en,Side Note Attribution,Contact_zh,Contact_en,Contact Number,Table List_zh,Table List_en,Table Content_zh,Table Content_en
01,LaSalle-Wacker Building,拉賽爾瓦克大樓,裝飾風藝術,Art Deco,41,512,156,1930,Holabird & Root,拉賽爾瓦克大樓位於金融街（LaSalle St.）的端點，與另一端點的芝加哥期貨交易所同為裝飾風藝術風格的建築物，它的 H 型平面提供了良好的採光及通風條件，同時也正符合了當時對辦公大樓的空間要求。中段屋頂上的平台也是電影「王牌對王牌（The Negotiator）」裡，狙擊手射擊的位置。,,"41.8865, -87.632",http://en.wikipedia.org/wiki/LaSalle-Wacker_Building,https://farm9.staticflickr.com/8472/8401355168_a1b6eb92d3_s.jpg,"""<a href=""https://www.flickr.com/photos/themikebot/266530171/in/photolist-py38M-egJ72-9ZTV2M-7ienN6-bb2Ern-9gLH7v-b1SM8n-aFBNTg-89HFUi-b1SNRv-vWATk-codzKo-5kiQPm-ccWgT7-dKRVLJ-iZtYAC-aWrGC2-6bV73T-bVyPLe-bVyMLg-7z76am-72G7GB-ccW8Go-bVyQet-7GeanV-5TBJm3-b3vrwV-b1SAjt-epjnA-aetWpF-b1SRWv-cTyvKb-5keAva-5kiT5f-4iYiB4-b3vGqZ-b1SweV-b1SzNM-b1SyeD-aFBNxv-bryjdR-a3By4t-a3Bx62-epjnE-7fzjJ2-9gPNcQ-eZkXsS-bzYY8w/"">LaSalle-Wacker Building</a>"" by <a href=""https://www.flickr.com/photos/themikebot/"">themikebot</a> is licensed under <a href=""https://creativecommons.org/licenses/by-nc-nd/2.0/"">CC BY-NC-ND 2.0</a>",裝飾風藝術,Art Deco,,"1925年，巴黎的「國際現代化工業裝飾藝術展覽會（Exposition Internationale des Arts Decoratifs et Industriels Modernes）」是此風格名稱的起源。承襲了「新藝術」（Art Nouveau）運動之後的建築與裝飾風格，以服務上層社會的富人為用途；特別強調細緻優雅的裝飾，特色為常用直線和對稱來構成建築物的外觀。屬於折衷的藝術形式，它結合了：
1.放射狀太陽與噴泉形式 
2.摩天大樓臨街退縮的輪廓 
3.幾何圖形：象徵了機械與科技解決了我們的問題
4.取材自爵士舞蹈等形式
5.埃及與中美洲等古文明
6.大量運用光亮大理石和烙鋼創造明亮對比的色彩。",,,,,,,,,
15,Quincy Station,昆西車站,,,,,,1897,Alfred M. Hedley,    如果要敍述芝加哥的特色，CTA捷運系統肯定榜上有名。芝加哥CTA建成至今已經有108年，而且是全世界唯一使用鋼骨結構來建構捷運系統的城市，甚至擁有空中、地底、地面三種的運輸方式。因為用鋼骨架構，木材樓面裝飾，然後使用金屬板作為屋頂鋪面，使得建設成本大為降低（在當時，這些材料都非常便宜）。昆西車站是芝加哥最原始最古老的捷運車站之一，它在1988年整修，卻沒有改變原本的樣式，狹小的木造車站大廳裡，仍隱隱透著典雅而古樸的氣息。,,41.878752°N 87.633703°W,http://en.wikipedia.org/wiki/Quincy_(CTA_station),https://farm3.staticflickr.com/2206/2440620962_c28bfc246d_s.jpg,"""<a href=""https://flic.kr/p/4HEPzL"">Chicago - The Loop - Quincy Station</a>"" by <a href=""https://www.flickr.com/photos/roncaglia/"">Gino Roncaglia</a> is licensed under <a href=""https://creativecommons.org/licenses/by-nc-sa/2.0/"">CC BY-NC-SA 2.0</a>",,,,,,,,,,,,,
29,Navy Pier,海軍碼頭,,,,,,1914,"Frost, Charles S. & Shankland, E.C.
","    海軍碼頭堪稱芝加哥最美麗的遊樂景點，也是下班後遠離都市喧囂的好去處。位在密西根湖旁，曾經是第二次世界大戰用來訓練海軍及集會廣場，也曾是伊利諾大學（UIC）最初的臨時校地，如今則是芝加哥最流行的娛樂廣場。碼頭內有芝加哥著名的兒童博物館（Chicago Children's Museum）、餐廳、咖啡雅座及摩天輪，甚至還有IMAX電影院。
    更新競圖案優勝者於2012年3月產生，設計將海軍碼頭改建成對行人更友善的地景親水碼頭，預計在2015年夏季完工。",,41°53′29″N 87°35′59″W,http://en.wikipedia.org/wiki/Navy_Pier,https://farm6.staticflickr.com/5081/5351548638_90bb000f9e_s.jpg,"""<a href=""https://flic.kr/p/99U5XY"">Winter Time at Navy Pier</a>"" by <a href=""https://www.flickr.com/photos/graceyheartphotography/"">Grace Trivino</a> is licensed under <a href=""https://creativecommons.org/licenses/by-nc-nd/2.0/"">CC BY-NC-ND 2.0</a>",,,,,,,,,,,,,
02,United Building,聯合大樓 (電路板大樓),後現代主義,Postmodernism,49,668,204,1992,DeStefano & Partners,"這棟在電影「王牌對王牌（The Negotiator）」裡化為芝加哥警局總部的聯合大樓，是芝加哥少數的後現代主義風格的大樓。其舊名為R.R. Donnelley Building，但因聯合航空總部在2007年搬進這棟大樓後便改名了。
    全美許多大都市都有與這聯合大樓類似造型的建築出現，尤其屋頂上的大三角形山牆更成為這些後現代風格高樓的最大特徵。",,"41.8865, -87.630528",http://en.wikipedia.org/wiki/United_Building,https://farm1.staticflickr.com/118/266530171_6e5b0b2a58_s.jpg,"""<a href=""https://flic.kr/p/dNp9cb"">United Building - Exterior 5</a>"" by <a href=""https://www.flickr.com/photos/chicagoarchitecturetoday/"">Chicago Architecture Today</a> is licensed under <a href=""https://creativecommons.org/licenses/by/2.0/"">CC BY 2.0</a>",後現代主義,Postmodernism,https://farm8.staticflickr.com/7202/6781129696_d90aaf2818_s.jpg,顧名思義，後現代主義就是緊接於現代主義之後的一種建築風格。簡單的說，後現代主義排斥現代主義單調乏味、千篇一律的工業產品造型，而回歸到古典主義以尋求古典建築語言的再現，例如：三角形的山牆。,,"""<a href=""https://flic.kr/p/bke4Bf"">One Detroit Center and Good Year Blimp</a>"" by <a href=""https://www.flickr.com/photos/detroitvideodaily/"">@rogerjfrank</a> is licensed under <a href=""https://creativecommons.org/licenses/by-nc-sa/2.0/"">CC BY-NC-SA 2.0</a>",,,,,,,
24,James R. Thompson Center,湯普森中心 (布丁大樓),現代主義,Modernism,17,332,100,1985,Murphy & Jahn,"    湯普森中心可說是芝加哥市區內最奇特的建築物。這棟布丁狀的玻璃大樓是伊利諾州政府位於芝加哥的辦公室。建築師打破傳統政府機關保守的建築型式，大膽的以玻璃為材料，完全表現了公務人員「人民公僕」的定義。大樓底層與一二樓為商店區，有餐廳、服飾店等等，其上則為州政府各個部門辦公室。一樓寬廣的大廳及建築外的小廣場成為市民集會與活動的最佳場所。
    然而，猶如溫室般的超大玻璃屋需要同尺寸建築兩倍的冷氣來維持室內舒適，以及建築師獨特的配色喜好都使這棟建築評價褒貶不一，不過，整體而言在建築理念上它是相當出色且成功的設計。",,41.8853°N 87.6322°W,http://en.wikipedia.org/wiki/James_R._Thompson_Center,https://farm1.staticflickr.com/35/73052766_67a32e6022_s.jpg,"""<a href=""https://flic.kr/p/7sq3s"">James R Thompson Center, Chicago</a>"" by <a href=""https://www.flickr.com/photos/soumit/"">Soumit Nandi</a> is licensed under <a href=""https://creativecommons.org/licenses/by-nc-nd/2.0/"">CC BY-NC-ND 2.0</a>",,,,,,,,,,,,,
03,Merchandise Mart,展場大樓,裝飾風藝術,Art Deco,25,340,100,1930,"Graham, Anderson, Probst & White","展場大樓在建造完工時為世界上最大使用面積的建築物，不過這個封號後來被五角大廈搶走。雖然如此，它還是擁有達13.6公里長的室內走道，以及37萬平方公尺的室內面積，相當於2.3座台北世貿一館，且佔據了兩個街區的最大商業大樓。
它由Marshall Field公司所建，當初為百貨賣場與辦公空間，現在主要為家具製造商的展示場。
1. 每年超過30萬人次參觀
2. 每年在此舉辦16項主要家具展
3. 每年舉辦超過300場會議及研討會
4. 建築物本身擁有獨立的郵遞區號：60654",,"41.8884, -87.6355",http://en.wikipedia.org/wiki/Merchandise_Mart,https://farm3.staticflickr.com/2196/3681108944_7d283d9b6f_s.jpg,"""<a href=""https://flic.kr/p/6BhDrA"">Merchandise Mart, Chicago</a>"" by <a href=""https://www.flickr.com/photos/mknott/"">Mathew Knott</a> is licensed under <a href=""https://creativecommons.org/licenses/by-nc-sa/2.0/"">CC BY-NC-SA 2.0</a>",,,,,,,,,,,,,
05,IBM Building,IBM 大樓,國際式樣,International Style,52,695,211,1971,Mies Van Der Rohe,IBM大樓是芝加哥重要現代建築大師密斯（Mies Van Der Rohe）生前最後一棟建築物，密斯擅長使用鋼骨及玻璃為建築材料，並將室內空間以最精簡的設計達到最大的使用功能，相對於早期的高層建築以石材為外觀材料，密斯以精確的建築細部設計配合當時美國雄厚的工業技術，建造出為數可觀的玻璃帷幕大樓。密斯常用模矩（Module）觀念做建築設計，使建築物的結構外觀與室內空間分割相互關聯，大大節省了建築費用，也達到視覺上的和諧效果；這個概念發揮到極致，你會發現連地板上的磁磚分割線都和柱子中心線相互對齊喔！,,41°53′19″N 87°37′39.3″W,http://en.wikipedia.org/wiki/330_North_Wabash,https://farm9.staticflickr.com/8183/8089018310_15e10673ab_s.jpg,"""<a href=""https://flic.kr/p/djNkjW"">IBM Building (330 N. Wabash)</a>"" by <a href=""https://www.flickr.com/photos/blipsman/"">Benjamin Lipsman</a> is licensed under <a href=""https://creativecommons.org/licenses/by/2.0/"">CC BY 2.0</a>",密斯凡德羅,Mies Van Der Rohe,,密斯凡德羅（Mies Van Der Rohe）生於德國，與Groupius致力於現代主義建築，於二次大戰時遷移美國，後任教IIT建築系達20年。「少即是多 （Less is More） 」為其建築哲學，把冰冷的鋼骨及玻璃構成比例動人的建築傑作。,,,,,,,,,
04,Marina City,船塢城 (玉米大樓),現代主義,Modernism,65,587,179,1964,Bertrand Goldberg Associates,"船塢城是所謂的「城中之城」，構築在一個完整的街區上，兩棟60樓層高的住宅大樓沿著芝加哥河聳立，整個海洋城包括餐廳、劇院、飯店及辦公室，將都市人的生活集中於此一生活區。
兩棟住宅大樓由於外型酷似玉米，暱稱玉米大樓，底下為18層樓的停車空間，其上為居住空間，電梯間位於玉米之中心，連接至各個住宅。因圓柱型之關係，每戶均有相當大的戶外陽台，有趣的是設計此棟的建築師是密斯的得意門生，但卻在建築設計上與老師唱反調，他設計的幾棟建築物均以圓弧造型及鋼筋混凝土為材料，與密斯的鋼骨玻璃方盒子造型大異其趣。",,41.887986°N 87.628761°W,http://en.wikipedia.org/wiki/Marina_City,http://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Marinacity466.JPG/109px-Marinacity466.JPG,"""<a href=""http://commons.wikimedia.org/wiki/File:Marinacity466.JPG"">Marinacity466</a>"" by <a href=""http://en.wikipedia.org/wiki/User:2candle"">2candle</a> is licensed under <a href=""http://creativecommons.org/licenses/by-sa/3.0/"">CC BY-SA 3.0</a>",,,,,,,,,,,,,
14,The Rookery,鳥屋,芝加哥學派,Chicago School,12,181,55,1888,Burnham & Root,"    設計鳥屋的兩位建築師約翰魯特（John Wellborn Root）和丹尼爾伯翰（Daniel Burnham）在芝加哥合作過二十多棟商業建築，是芝加哥很重要的兩位建築師。12層樓高的鳥屋完工後，成為當時世界上最高的建築物之一，亦是芝加哥現存最老的高樓。曾是芝加哥大火後的臨時市政廳。在建成的二十年後，萊特（Frank Lloyd Wright）負責了第一次的內部整修，後來又經過兩次整修，最後一次在1992年，讓鳥屋回復到原本的模樣。
    它是芝加哥最令人印象深刻，最受推崇也最具影響力的地標建築物，原因包括：它是建築結構過渡時期的革命性建築，有著羅馬式裝飾、耐重紅磚、花崗岩牆支撐著其上的鋼架樓層；而室內的裝飾更令人讚嘆，360度的光井螺旋梯、鐵框架結構的天窗等等，都是它如此重要的原因。",,41°52′44.7″N 87°37′55.6″W,http://en.wikipedia.org/wiki/Rookery_Building,https://farm3.staticflickr.com/2201/2653987625_136b1cc634_s.jpg,"""<a href=""https://flic.kr/p/53wo4k"">chicago-007997</a>"" by <a href=""https://www.flickr.com/photos/suvarn/"">Suvarn</a> is licensed under <a href=""https://creativecommons.org/licenses/by-nc-sa/2.0/"">CC BY-NC-SA 2.0</a>",,,,,,,,,,,,,
16,Wills Tower,威爾斯大樓 (希爾斯大樓),國際式樣,International Style,110,1450,442.1,1970,"Skimore, Owings and Merrill (SOM)","    威爾斯大樓（舊稱希爾斯大樓）在芝加哥中心商業區是一座極為顯著的地標，形體方正，高聳入雲。它在1973年建造完成後至1996年間，一直是世界上最高的建築物。
    建築師葛蘭姆（Graham）將許多管子捆成9只面積各達75平方英尺的巨管，把這些巨管當成結構體，管子的數目隨高度遞減，還與1920年末期紐約時興的摩天大樓風格相互呼應。大樓樓頂上兩隻成對角線豎立的天線是在1982年增設的，使得此大樓的總高度加253英呎（77公尺）。103層的天臺觀景台，搭電梯只需70秒即可到達。",,41°52′44″N 87°38′09″W,http://en.wikipedia.org/wiki/Sears_Tower,https://farm1.staticflickr.com/69/170560058_b23bfb3886_s.jpg,"""<a href=""https://flic.kr/p/g5ayE"">Chicago: Sears Tower - View from Southwest</a>"" by <a href=""https://www.flickr.com/photos/wallyg/"">Wally Gobetz</a> is licensed under <a href=""https://creativecommons.org/licenses/by-nc-nd/2.0/"">CC BY-NC-ND 2.0</a>",,,,,,,,,,,,,
